statements,tiidf_result,lsi_result,lda_result,difflib_resutl
I am plumber and looking to sighn up with the Hitachi finance scheme which offers 10 months interest free. How do I go about it?,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q","If you are a credit union, a the credit agreements you enter into with your customers are those listed in this video, please click 'yes'. Otherwise click 'no'. Please click HERE to view a short video.  "
"I am a car dealer, just spoekn to a finance company and apparently I have to be FCA regulated to offer any fnancial products to customers through them. Looking at the website so many different schemes, quite hard to make heads tails which I need to be. They said something about a  small payment services where you can offer it through them but not through myself if that make sense. ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ",Are you a credit union? Click HERE to check if you are a credit union.  60G(2)
"I've spoke to the financial broker panel, and they guide/said to give you a call to get auothorised as a finanical broker. ",Are you an investment firm or a credit institution AND the agreement is entered into for the purpose of allowing the borrower to carry out a transaction relating to one or more financial instruments?   60E(6),Are you an investment firm or a credit institution AND the agreement is entered into for the purpose of allowing the borrower to carry out a transaction relating to one or more financial instruments?   60E(6),"Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q",Are you a housing authority? Click HERE to check if you are a housing authority.   60E(5)
If we were/are providing/offering finance but not through oursleves but through an outside source do we need to registered?  ,"Is the credit provided to your customer for his business AND in connection with trade in goods and services with persons outside of the UK? The location of the customer of your customer is key to answering this question. If your customer sells goods from the UK to Germany, click 'yes'. If he is a consultant who advises clients who are outside of the UK, please also click 'yes'. If, however, he sells goods (such as children toys) to people in the UK as well as to people outside of the UK, then click 'no'.  60C(8)",Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Do you deal with Consumer Clients 'by way of business'? The expression 'by way of business' means that you conduct this activity regularly. If you intend to provide a loan to an individual once for example, you will not need to be authorised. If you are not sure how this applies to you, please click HERE to find out more.   ","Is the credit agreement a 'regulated mortgage contract' or a 'regulated home purchase plan'? Please click HERE to see (a short video)(detailed advice) explaining what these terms mean.  It is very important that you understand the difference between these agreements and other credit agreements as if this applies to you, you may be exempt. 60C(2) ROA"
"from time to time I do make loan profit, I don¡¯t advertise but I people come to me privately. Do I need to be authorised? ",Are your agreements secured by a legal mortgage on land?   check where in RAO this comes from? it's in Credit Ready. q15.,Are your agreements secured by a legal mortgage on land?   check where in RAO this comes from? it's in Credit Ready. q15.,"Is the credit provided to your customer for his business AND in connection with trade in goods and services with persons outside of the UK? The location of the customer of your customer is key to answering this question. If your customer sells goods from the UK to Germany, click 'yes'. If he is a consultant who advises clients who are outside of the UK, please also click 'yes'. If, however, he sells goods (such as children toys) to people in the UK as well as to people outside of the UK, then click 'no'.  60C(8)","Do you carry on the activity of debt collecting? Please click ‘yes’ if you take steps that lead to the payment of a debt under a credit agreement or a hire agreement or any of the agreements listed in this list (add link), Otherwise, click ‘no’.  39F"
Want to know whether what I want to do and have done once or twice is infact lawful or needs regulation for lending,"Is the credit agreement a 'regulated mortgage contract' or a 'regulated home purchase plan'? Please click HERE to see (a short video)(detailed advice) explaining what these terms mean.  It is very important that you understand the difference between these agreements and other credit agreements as if this applies to you, you may be exempt. 60C(2) ROA",Is the agreement a borrower lender supplier agreement? A borrower lender supplier agreement is a credit (or loan) agreement where on person (A) lends to another person (B) and amount of money in connection with the supply of goods (whether by (A) or another person).  60F,"<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ",Do you provide credit references?   
"I am opening/building a website at the moment and wondering if I need to be authorised by yourselfs, don't know how it works. Not sure if I do need Prduct comparsions website.","Are your customers high net worth individuals only? If you provide loans to 'high net worth individuals' only, you will not need to apply for authorisation. Consider whether this is an option for your business.
Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  This question is eliminating 60H RAO","Do you deal with Consumer Clients 'by way of business'? The expression 'by way of business' means that you conduct this activity regularly. If you intend to provide a loan to an individual once for example, you will not need to be authorised. If you are not sure how this applies to you, please click HERE to find out more.   ","Are your customers high net worth individuals only? If you provide loans to 'high net worth individuals' only, you will not need to apply for authorisation. Consider whether this is an option for your business.
Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  This question is eliminating 60H RAO","Is the credit more than £25,000 AND provided to the borrower for the purposes of his business activities? If the credit is provided to your customer 'predominantly' for the purpose of his business (but not exclusively, please also click 'yes'.  ROA 60C(3)"
"I have a kitchen company and wanting to offer finance through a third party, am I going to need a Credit licence, need some advice on that. What I want to is introduce/ broker to my customer so they can privide a personal loan and want to be able to advertise that I do finance. so I'm going to need a credit licence to do that, is thereone kind of licence or various ones. ","Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ",Are the loans you provide to your customers for the purposes of financing the purchase of a dwelling and secured by a mortgage on land? Please click HERE to (watch this video) and click 'yes' if ANY of the credit agreements you enter into with your customers are mentioned or listed in the video.   60E,"Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ",Are you a local authority or a 'Specified Person'? Click HERE to check if you are a housing authority or specified person.  60E(2)
"I wanted some advice, I'm a sole trader and looking to start a carpet business where by they pay a third deposit and let them pay the balance over 3 month in 3 payment interest or gentlemans agreement, Do I need a licence to do that?","Is the credit more than £25,000 AND provided to the borrower for the purposes of his business activities? If the credit is provided to your customer 'predominantly' for the purpose of his business (but not exclusively, please also click 'yes'.  ROA 60C(3)","Is the credit more than £25,000 AND provided to the borrower for the purposes of his business activities? If the credit is provided to your customer 'predominantly' for the purpose of his business (but not exclusively, please also click 'yes'.  ROA 60C(3)","Do you enter into consumer hire agreements with individuals? A consumer hire agreement is an agreement between you as owner and another person as hirer of goods AND which is for a duration of more than 3 months. The goods should be in the possession of the hirer. This agreement is not to be confused with a ‘hire-purchase agreement’ where the hirer has the option or ability to buy the goods. NOTE: If you exercise the rights of an owner, you are also deemed to be entering into a consumer hire agreement and should click ‘yes’.  60N to Q","Is the loan provided to the customer in connection with a dwelling and secured by a mortgage on land? Before you answer the question, click HERE to see what conditions apply.  60E(5)"
"I'm a relationship manager for clients of HSBC bank, one of my clients are debt collection agency,  business to business, do they need to be authorised?","Do you deal with Consumer Clients 'by way of business'? The expression 'by way of business' means that you conduct this activity regularly. If you intend to provide a loan to an individual once for example, you will not need to be authorised. If you are not sure how this applies to you, please click HERE to find out more.   ","Do you deal with Consumer Clients 'by way of business'? The expression 'by way of business' means that you conduct this activity regularly. If you intend to provide a loan to an individual once for example, you will not need to be authorised. If you are not sure how this applies to you, please click HERE to find out more.   ","Do you deal with Consumer Clients 'by way of business'? The expression 'by way of business' means that you conduct this activity regularly. If you intend to provide a loan to an individual once for example, you will not need to be authorised. If you are not sure how this applies to you, please click HERE to find out more.   ",Is your main business activity to sell goods or supply services and not to carry on a regulated activity?   credit ready q.4
"I'm just opened my own business a couple weeks ago selling exspensive furntiure, of course to boost selling and things like I was hopeing to get FCA approved and go through a finance company. ",Is your main business activity to sell goods or supply services and not to carry on a regulated activity?   credit ready q.4,Is your main business activity to sell goods or supply services and not to carry on a regulated activity?   credit ready q.4,"Is the credit provided to your customer for his business AND in connection with trade in goods and services with persons outside of the UK? The location of the customer of your customer is key to answering this question. If your customer sells goods from the UK to Germany, click 'yes'. If he is a consultant who advises clients who are outside of the UK, please also click 'yes'. If, however, he sells goods (such as children toys) to people in the UK as well as to people outside of the UK, then click 'no'.  60C(8)",Is your customer a 'high net worth' individual? Note: If your customers are ‘high net worth individuals’ you will need to make sure that you comply with the 'conditions' (link to conditions) and your customer will need to sign this declaration (link to declaration).  60Q
"We are a firm licenced insolvency practice in Scotland under the Chartered accountant consumer credit licence, I'm an approved debt arrangement scheme advisor and would still like to conitnue debt advice under middlebrookes, my understanding is that we need some kind of FCA authorisation if we look to ofer debt arrangement scheme. ","Do you act as appointed representative for an authorised firm? If you are appointed by a person who is authorised by the FCA to represent that person you may be exempt. If you have a written agreement with the authorised firm and meet the conditions listed HERE, click 'yes'. Otherwise, click 'no'.  ","Do you carry on the activity of debt collecting? Please click ‘yes’ if you take steps that lead to the payment of a debt under a credit agreement or a hire agreement or any of the agreements listed in this list (add link), Otherwise, click ‘no’.  39F","Do you carry on the activity of debt collecting? Please click ‘yes’ if you take steps that lead to the payment of a debt under a credit agreement or a hire agreement or any of the agreements listed in this list (add link), Otherwise, click ‘no’.  39F","If the agreement is one of those listed in this short video (or pop up list), please click 'yes' otherwise click 'no'   60F exemptions relating to number of repayments to be made"
"I'm calling  from quest corporation, looking to advertise car leases for our partners, only deal with admin side, we don't deal with any of the finance, do we need to do anuthing with you?","Is the credit less than £25,000 AND a Green Deal Plan? Click HERE to find out what the Green Deal Plan is.   ","Is the credit less than £25,000 AND a Green Deal Plan? Click HERE to find out what the Green Deal Plan is.   ","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ",Is the agreement a borrower lender supplier agreement? A borrower lender supplier agreement is a credit (or loan) agreement where on person (A) lends to another person (B) and amount of money in connection with the supply of goods (whether by (A) or another person).  60F
"We've found more and more that people are asking for advice on debt, housing and benefit, trying to get some training for our volunters in these areas and been told that we have to be authorised by the FCA. ",Are you a housing authority? Click HERE to check if you are a housing authority.   60E(5),Are you a housing authority? Click HERE to check if you are a housing authority.   60E(5),"Do you act as appointed representative for an authorised firm? If you are appointed by a person who is authorised by the FCA to represent that person you may be exempt. If you have a written agreement with the authorised firm and meet the conditions listed HERE, click 'yes'. Otherwise, click 'no'.  ","If the agreement is one of those listed in this short video (or pop up list), please click 'yes' otherwise click 'no'   60F exemptions relating to number of repayments to be made"
"Started a new business in electrics, I'm an Electrician I'm really looking for advice f how I  can become register as I want to start off smart home technology in peoples houses, whether I can go about bcoming FCA register so I can essentially start offering finance. ","Is the credit provided to your customer so he can purchase land for non residential purposes? Before answering the question, click HERE to (watch a video)(read advice) which explains what this means as the question does not relate to all purchases of land.  60D","Is the credit provided to your customer so he can purchase land for non residential purposes? Before answering the question, click HERE to (watch a video)(read advice) which explains what this means as the question does not relate to all purchases of land.  60D","Is the credit provided to your customer so he can purchase land for non residential purposes? Before answering the question, click HERE to (watch a video)(read advice) which explains what this means as the question does not relate to all purchases of land.  60D",Are you a local authority or a 'Specified Person'? Click HERE to check if you are a housing authority or specified person.  60E(2)
One of my suppliers abroad has told me that they want me to have a FCA license. ,Is the agreement a borrower lender supplier agreement? A borrower lender supplier agreement is a credit (or loan) agreement where on person (A) lends to another person (B) and amount of money in connection with the supply of goods (whether by (A) or another person).  60F,Is the agreement a borrower lender supplier agreement? A borrower lender supplier agreement is a credit (or loan) agreement where on person (A) lends to another person (B) and amount of money in connection with the supply of goods (whether by (A) or another person).  60F,que1058 yes  adv7,"If the agreement is one of those listed in this short video (or pop up list), please click 'yes' otherwise click 'no'   60F exemptions relating to number of repayments to be made"
I'm looking for a little bit guidance please? On whether a finance deal would be regulated or unregulated. ,"Do you engage in credit broking (for example, do you introduce customers to a finance or leasing company)? Not all credit agreements are regulated. This means that if you are providing credit broking services in respect of a credit agreement that is exempt, you may also be exempt from authorisation. Click HERE to view a short video about exempt credit agreements.  ","Is the credit agreement a 'regulated mortgage contract' or a 'regulated home purchase plan'? Please click HERE to see (a short video)(detailed advice) explaining what these terms mean.  It is very important that you understand the difference between these agreements and other credit agreements as if this applies to you, you may be exempt. 60C(2) ROA","<p><strong>Do you deal with Consumer Clients?</strong></p> <p>A consumer client is an individual whose habitual residence is in the UK. Click HERE for more information. The term 'deal' is used here in a very broad sense. It refers to providing lending services, other credit related services, debt services related to credit agreements, credit referencing services, peer to peer lending platforms which relate to consumer credit agreements and more. If you are not sure if you deal with consumer clients, please click 'yes' so you can confirm this by completing this questionnaire.</p> <p>Whether you need a consumer credit license or not depends on who your customers are. if your customers are NOT consumers, for example if they are companies and you regularly provide them with loans, then you should take our intermediary questionnaire to check if you need to apply for another license. Please click HERE to take the intermediary questionnaire. Please note that where you are based has no impact on whether you should apply for a license or not. For the purposes of this analysis, it is the location of your customers that matters.</p> ","If the ONLY credit broking you carry on is in relation to Green Deal Plans, please click ‘yes’. Otherwise, click ‘no’. Click HERE to view a short video explaining what a Green Plan is.  credit ready q. 18 to 20 inclusively"
"Ive been trying to make an application but I'm stuck, I don¡¯t know what to do. My business is a furitnure business and wanting to do, buy a sofa of me and wanting to pay monthly or wanting to introduce them to a thrid party","Is the credit more than £25,000 AND provided to the borrower for the purposes of his business activities? If the credit is provided to your customer 'predominantly' for the purpose of his business (but not exclusively, please also click 'yes'.  ROA 60C(3)","Is the credit more than £25,000 AND provided to the borrower for the purposes of his business activities? If the credit is provided to your customer 'predominantly' for the purpose of his business (but not exclusively, please also click 'yes'.  ROA 60C(3)","Does the value of the contract exceed £25,000 AND is it provided to the hirer predominantly for the purposes of his business?   60O","Do you carry on the activity of debt administration? Please click ‘yes’ if you take steps to (1) perform the duties of a lender or an owner or (2) exercise or enforce the rights of a lender or an owner under a credit agreement or a hire agreement or any of the agreements listed in this list (add link), Otherwise, click ‘no’.  39G"
